Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.2 , Light( 30 ), Dist( 50 ), 2015-11-28 18:33:59
step 10, training accuracy 0.28 , Light( 30 ), Dist( 50 ), 2015-11-28 18:34:15
step 20, training accuracy 0.42 , Light( 30 ), Dist( 50 ), 2015-11-28 18:34:33
step 30, training accuracy 0.7 , Light( 30 ), Dist( 50 ), 2015-11-28 18:34:50
step 40, training accuracy 0.6 , Light( 30 ), Dist( 50 ), 2015-11-28 18:35:07
step 50, training accuracy 0.8 , Light( 30 ), Dist( 50 ), 2015-11-28 18:35:24
step 60, training accuracy 0.72 , Light( 30 ), Dist( 50 ), 2015-11-28 18:35:41
step 70, training accuracy 0.86 , Light( 30 ), Dist( 50 ), 2015-11-28 18:35:57
step 80, training accuracy 0.76 , Light( 30 ), Dist( 50 ), 2015-11-28 18:36:16
step 90, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:36:33
step 100, training accuracy 0.88 , Light( 30 ), Dist( 50 ), 2015-11-28 18:36:51
step 110, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:37:07
step 120, training accuracy 0.84 , Light( 30 ), Dist( 50 ), 2015-11-28 18:37:24
step 130, training accuracy 0.84 , Light( 30 ), Dist( 50 ), 2015-11-28 18:37:41
step 140, training accuracy 0.9 , Light( 30 ), Dist( 50 ), 2015-11-28 18:37:58
step 150, training accuracy 0.88 , Light( 30 ), Dist( 50 ), 2015-11-28 18:38:16
step 160, training accuracy 0.88 , Light( 30 ), Dist( 50 ), 2015-11-28 18:38:32
step 170, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:38:50
step 180, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:39:07
step 190, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:39:24
step 200, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:39:42
step 210, training accuracy 0.9 , Light( 30 ), Dist( 50 ), 2015-11-28 18:40:00
step 220, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:40:16
step 230, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:40:33
step 240, training accuracy 0.88 , Light( 30 ), Dist( 50 ), 2015-11-28 18:40:50
step 250, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:41:07
step 260, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:41:24
step 270, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:41:41
step 280, training accuracy 0.84 , Light( 30 ), Dist( 50 ), 2015-11-28 18:41:59
step 290, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:42:15
step 300, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:42:33
step 310, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:42:50
step 320, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 18:43:07
step 330, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:43:25
step 340, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 18:43:42
step 350, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 18:44:00
step 360, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 18:44:16
