Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.1 , Light( 10 ), Dist( 100 ), 2015-11-27 18:32:02
step 10, training accuracy 0.12 , Light( 10 ), Dist( 100 ), 2015-11-27 18:32:20
step 20, training accuracy 0.16 , Light( 10 ), Dist( 100 ), 2015-11-27 18:32:37
step 30, training accuracy 0.32 , Light( 10 ), Dist( 100 ), 2015-11-27 18:32:54
step 40, training accuracy 0.28 , Light( 10 ), Dist( 100 ), 2015-11-27 18:33:11
step 50, training accuracy 0.28 , Light( 10 ), Dist( 100 ), 2015-11-27 18:33:28
step 60, training accuracy 0.66 , Light( 10 ), Dist( 100 ), 2015-11-27 18:33:46
step 70, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-27 18:34:03
step 80, training accuracy 0.54 , Light( 10 ), Dist( 100 ), 2015-11-27 18:34:21
step 90, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-27 18:34:39
step 100, training accuracy 0.64 , Light( 10 ), Dist( 100 ), 2015-11-27 18:34:56
step 110, training accuracy 0.66 , Light( 10 ), Dist( 100 ), 2015-11-27 18:35:13
step 120, training accuracy 0.72 , Light( 10 ), Dist( 100 ), 2015-11-27 18:35:30
step 130, training accuracy 0.68 , Light( 10 ), Dist( 100 ), 2015-11-27 18:35:47
step 140, training accuracy 0.74 , Light( 10 ), Dist( 100 ), 2015-11-27 18:36:04
step 150, training accuracy 0.64 , Light( 10 ), Dist( 100 ), 2015-11-27 18:36:20
step 160, training accuracy 0.74 , Light( 10 ), Dist( 100 ), 2015-11-27 18:36:38
step 170, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-27 18:36:55
step 180, training accuracy 0.62 , Light( 10 ), Dist( 100 ), 2015-11-27 18:37:13
step 190, training accuracy 0.74 , Light( 10 ), Dist( 100 ), 2015-11-27 18:37:31
step 200, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-27 18:37:47
step 210, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-27 18:38:04
step 220, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-27 18:38:23
step 230, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-27 18:38:40
step 240, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-27 18:38:57
step 250, training accuracy 0.76 , Light( 10 ), Dist( 100 ), 2015-11-27 18:39:15
step 260, training accuracy 0.76 , Light( 10 ), Dist( 100 ), 2015-11-27 18:39:31
step 270, training accuracy 0.82 , Light( 10 ), Dist( 100 ), 2015-11-27 18:39:48
step 280, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-27 18:40:04
step 290, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-27 18:40:21
step 300, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-27 18:40:40
step 310, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-27 18:40:56
step 320, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-27 18:41:13
step 330, training accuracy 0.8 , Light( 10 ), Dist( 100 ), 2015-11-27 18:41:29
step 340, training accuracy 0.9 , Light( 10 ), Dist( 100 ), 2015-11-27 18:41:46
step 350, training accuracy 0.88 , Light( 10 ), Dist( 100 ), 2015-11-27 18:42:04
step 360, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-27 18:42:21
step 370, training accuracy 0.78 , Light( 10 ), Dist( 100 ), 2015-11-27 18:42:38
step 380, training accuracy 0.86 , Light( 10 ), Dist( 100 ), 2015-11-27 18:42:55
step 390, training accuracy 0.84 , Light( 10 ), Dist( 100 ), 2015-11-27 18:43:11
