Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.06 , Light( 15 ), Dist( 140 ), 2015-11-27 15:06:38
step 100, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 15:07:49
step 200, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 15:09:02
step 300, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:10:13
step 400, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:11:24
step 500, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:12:36
step 600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:13:46
step 700, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:14:55
step 800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:16:05
step 900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:17:16
step 1000, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:18:27
step 1100, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:19:39
step 1200, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:20:50
step 1300, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:22:01
step 1400, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:23:13
step 1500, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:24:24
step 1600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:25:35
step 1700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:26:45
step 1800, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:27:55
step 1900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:29:07
step 2000, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:30:18
step 2100, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:31:29
step 2200, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:32:40
step 2300, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 15:33:53
step 2400, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:35:04
step 2500, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:36:15
step 2600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:37:25
step 2700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:38:37
step 2800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:39:48
step 2900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:40:59
step 3000, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:42:10
step 3100, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:43:21
step 3200, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:44:33
step 3300, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:45:44
step 3400, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:46:54
step 3500, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:48:05
step 3600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:49:15
step 3700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:50:26
step 3800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:51:37
step 3900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:52:47
step 4000, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:53:57
step 4100, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:55:09
step 4200, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:56:20
step 4300, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:57:30
step 4400, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:58:42
step 4500, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 15:59:53
step 4600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 16:01:04
step 4700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 16:02:16
step 4800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 16:03:27
step 4900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 16:04:37
test accuracy 0.972
