Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.06 , Light( 15 ), Dist( 140 ), 2015-11-27 17:17:37
step 10, training accuracy 0.38 , Light( 15 ), Dist( 140 ), 2015-11-27 17:17:44
step 20, training accuracy 0.66 , Light( 15 ), Dist( 140 ), 2015-11-27 17:17:52
step 30, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 17:17:59
step 40, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:06
step 50, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:14
step 60, training accuracy 0.72 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:21
step 70, training accuracy 0.76 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:28
step 80, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:35
step 90, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:43
step 100, training accuracy 0.8 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:50
step 110, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:18:57
step 120, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:05
step 130, training accuracy 0.88 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:12
step 140, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:19
step 150, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:26
step 160, training accuracy 0.82 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:34
step 170, training accuracy 0.84 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:41
step 180, training accuracy 0.88 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:49
step 190, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:19:56
step 200, training accuracy 0.92 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:04
step 210, training accuracy 0.86 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:12
step 220, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:19
step 230, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:26
step 240, training accuracy 0.88 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:34
step 250, training accuracy 0.9 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:41
step 260, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:49
step 270, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:20:56
