Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 0, training accuracy 0.26 , Light( 45 ), Dist( 35 ), 2015-11-26 18:03:03
step 10, training accuracy 0.46 , Light( 45 ), Dist( 35 ), 2015-11-26 18:03:17
step 20, training accuracy 0.56 , Light( 45 ), Dist( 35 ), 2015-11-26 18:03:30
step 30, training accuracy 0.66 , Light( 45 ), Dist( 35 ), 2015-11-26 18:03:43
step 40, training accuracy 0.74 , Light( 45 ), Dist( 35 ), 2015-11-26 18:03:56
step 50, training accuracy 0.76 , Light( 45 ), Dist( 35 ), 2015-11-26 18:04:10
step 60, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-26 18:04:24
step 70, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-26 18:04:39
step 80, training accuracy 0.88 , Light( 45 ), Dist( 35 ), 2015-11-26 18:04:54
step 90, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:05:09
step 100, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-26 18:05:24
step 110, training accuracy 0.84 , Light( 45 ), Dist( 35 ), 2015-11-26 18:05:39
step 120, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:05:54
step 130, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-26 18:06:09
step 140, training accuracy 0.82 , Light( 45 ), Dist( 35 ), 2015-11-26 18:06:24
step 150, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:06:40
step 160, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:06:55
step 170, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:07:10
step 180, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:07:25
step 190, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:07:40
step 200, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:07:55
step 210, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:08:10
step 220, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:08:25
step 230, training accuracy 0.84 , Light( 45 ), Dist( 35 ), 2015-11-26 18:08:41
step 240, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:08:55
step 250, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:09:10
step 260, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:09:25
step 270, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:09:40
step 280, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-26 18:09:55
step 290, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:10:10
step 300, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:10:25
step 310, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:10:38
step 320, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:10:51
step 330, training accuracy 0.86 , Light( 45 ), Dist( 35 ), 2015-11-26 18:11:03
step 340, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:11:17
step 350, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:11:31
step 360, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:11:44
step 370, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:11:58
step 380, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:12:12
step 390, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:12:25
step 400, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:12:39
step 410, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:12:52
step 420, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:13:07
step 430, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:13:20
step 440, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:13:34
step 450, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:13:47
step 460, training accuracy 0.9 , Light( 45 ), Dist( 35 ), 2015-11-26 18:14:00
step 470, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:14:14
step 480, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:14:28
step 490, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:14:42
step 500, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:14:55
step 510, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:15:09
step 520, training accuracy 0.88 , Light( 45 ), Dist( 35 ), 2015-11-26 18:15:24
step 530, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:15:39
step 540, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:15:55
step 550, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:16:10
step 560, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:16:24
step 570, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:16:40
step 580, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:16:55
step 590, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:17:09
step 600, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:17:25
step 610, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:17:40
step 620, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:17:55
step 630, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:18:10
step 640, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:18:25
step 650, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:18:41
step 660, training accuracy 0.92 , Light( 45 ), Dist( 35 ), 2015-11-26 18:18:56
step 670, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:19:11
step 680, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:19:26
step 690, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:19:42
step 700, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:19:57
step 710, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:20:12
step 720, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:20:27
step 730, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:20:42
step 740, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:20:57
step 750, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:21:12
step 760, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:21:27
step 770, training accuracy 0.94 , Light( 45 ), Dist( 35 ), 2015-11-26 18:21:42
step 780, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:21:57
step 790, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:22:11
step 800, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:22:24
step 810, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:22:38
step 820, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:22:52
step 830, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:23:06
step 840, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:23:20
step 850, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:23:33
step 860, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:23:47
step 870, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:24:01
step 880, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:24:15
step 890, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:24:30
step 900, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:24:46
step 910, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:25:02
step 920, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:25:18
step 930, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:25:32
step 940, training accuracy 1 , Light( 45 ), Dist( 35 ), 2015-11-26 18:25:48
step 950, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:26:03
step 960, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:26:19
step 970, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:26:34
step 980, training accuracy 0.96 , Light( 45 ), Dist( 35 ), 2015-11-26 18:26:50
step 990, training accuracy 0.98 , Light( 45 ), Dist( 35 ), 2015-11-26 18:27:05
test accuracy 0.944
